,mse,mae,r2
co,0.017210960530439127,0.0952223076979564,0.5212272513911711
o3,0.032746858184101196,0.1463782012928513,-0.00013342116883104723
so2,0.014081848676535351,0.07275589795838926,-0.00564284788761356
pm25,0.035699365555126,0.10919237050919701,-0.09983256835694913
pm10,0.04085275591919318,0.1264988900102891,-0.22630141901902728
