,mse,mae,r2
co,0.017498659873240383,0.09573683794381181,0.5111318620273411
no2,4.607509546319747e-05,0.004680036881189035,-10.518829860231705
o3,0.031784764768170624,0.14432770631578834,0.08940670291385995
so2,0.01422143919123315,0.07327575041291642,0.017372609833445702
pm25,0.03635333373747199,0.11209905726528688,-0.1368118006609524
pm10,0.04158262604862693,0.1293969073510499,-0.2707787312943731
